City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
87,Labytnangi,RU,66.6572,66.4183,46.71,95,100,14.61,light rain,2021-07-28 03:31:26
88,Provideniya,RU,64.3833,-173.3,50.11,81,90,17.9,light intensity shower rain,2021-07-28 03:31:26
89,Fortuna,US,40.5982,-124.1573,74.48,92,40,0.0,scattered clouds,2021-07-28 03:31:27
90,Itarema,BR,-2.9248,-39.9167,77.31,84,19,13.44,few clouds,2021-07-28 03:31:27
91,Esperance,AU,-33.8667,121.9,58.84,49,4,18.95,clear sky,2021-07-28 03:31:27
92,Butaritari,KI,3.0707,172.7902,81.66,72,100,4.5,overcast clouds,2021-07-28 03:29:08
93,Jiayuguan,CN,39.8167,98.3,86.72,13,34,9.86,scattered clouds,2021-07-28 03:31:28
94,Poum,NC,-20.2333,164.0167,72.55,59,5,14.52,clear sky,2021-07-28 03:26:34
95,Ancud,CL,-41.8697,-73.8203,42.33,86,71,3.51,broken clouds,2021-07-28 03:30:00
96,Vostok,RU,46.4856,135.8833,87.76,54,73,0.87,broken clouds,2021-07-28 03:31:29
97,Tymovskoye,RU,50.8456,142.655,90.34,44,42,5.14,scattered clouds,2021-07-28 03:31:29
98,Belmonte,BR,-15.8631,-38.8828,70.3,86,7,6.49,clear sky,2021-07-28 03:31:29
99,Labuhan,ID,-6.8844,112.2051,86.76,54,5,3.18,clear sky,2021-07-28 03:31:30
100,Taldan,RU,53.6667,124.8,64.67,99,100,4.09,moderate rain,2021-07-28 03:31:30
101,Homer,US,59.6425,-151.5483,69.08,71,1,9.22,clear sky,2021-07-28 03:31:30
102,Asau,RO,46.4333,26.4,70.39,73,11,5.84,few clouds,2021-07-28 03:31:31
103,Hilo,US,19.7297,-155.09,80.33,83,40,9.22,moderate rain,2021-07-28 03:30:14
104,San Juan,AR,-31.5375,-68.5364,46.47,43,0,6.15,clear sky,2021-07-28 03:28:00
105,Geraldton,AU,-28.7667,114.6,66.61,68,40,8.05,scattered clouds,2021-07-28 03:31:31
106,Saint-Francois,FR,46.4154,3.9054,63.48,97,0,3.44,clear sky,2021-07-28 03:31:32
107,Noumea,NC,-22.2763,166.4572,77.0,97,11,14.61,few clouds,2021-07-28 03:31:32
108,Pasighat,IN,28.0667,95.3333,90.84,64,55,3.47,broken clouds,2021-07-28 03:31:32
109,Neuquen,AR,-38.9516,-68.0591,33.69,75,0,0.0,clear sky,2021-07-28 03:26:36
110,Nilanga,IN,18.1,76.7667,76.42,74,100,20.2,overcast clouds,2021-07-28 03:31:33
111,Zeya,RU,53.75,127.2667,69.57,95,92,2.51,light rain,2021-07-28 03:31:33
112,Port Macquarie,AU,-31.4333,152.9167,77.9,39,2,9.75,clear sky,2021-07-28 03:29:33
113,Verkhnevilyuysk,RU,63.4453,120.3167,78.39,44,21,7.05,few clouds,2021-07-28 03:31:34
114,Batagay,RU,67.6333,134.6333,62.22,36,5,9.24,clear sky,2021-07-28 03:31:34
115,Smolenka,RU,52.1352,113.4974,69.87,73,40,2.24,moderate rain,2021-07-28 03:31:35
116,Quincy,US,42.2529,-71.0023,69.35,95,1,1.01,mist,2021-07-28 03:31:35
117,Dabola,GN,10.75,-11.1167,71.56,96,100,3.8,overcast clouds,2021-07-28 03:31:35
118,Palmer,US,42.1584,-72.3287,67.48,86,40,0.0,scattered clouds,2021-07-28 03:31:36
119,Port Alfred,ZA,-33.5906,26.891,59.56,84,8,14.18,clear sky,2021-07-28 03:31:36
120,Qaanaaq,GL,77.484,-69.3632,42.28,91,98,5.75,overcast clouds,2021-07-28 03:29:43
121,Cockburn Town,TC,21.4612,-71.1419,81.66,76,29,17.76,scattered clouds,2021-07-28 03:31:37
122,Tasiilaq,GL,65.6145,-37.6368,37.56,79,22,7.31,few clouds,2021-07-28 03:29:53
123,Hermanus,ZA,-34.4187,19.2345,51.91,66,99,12.21,overcast clouds,2021-07-28 03:28:51
124,Coihaique,CL,-45.5752,-72.0662,35.55,80,0,4.61,clear sky,2021-07-28 03:31:37
125,Tromso,NO,69.6496,18.957,50.65,100,90,9.22,overcast clouds,2021-07-28 03:31:38
126,Padang,ID,-0.9492,100.3543,84.02,71,86,3.31,overcast clouds,2021-07-28 03:28:28
127,Necochea,AR,-38.5473,-58.7368,44.04,68,100,22.95,light rain,2021-07-28 03:31:38
128,Nikolskoye,RU,59.7035,30.7861,67.8,68,100,4.79,overcast clouds,2021-07-28 03:29:31
129,Anadyr,RU,64.75,177.4833,48.7,100,75,24.0,moderate rain,2021-07-28 03:31:39
130,Coquimbo,CL,-29.9533,-71.3436,47.93,93,0,5.75,clear sky,2021-07-28 03:31:39
131,Katsuura,JP,35.1333,140.3,87.91,73,100,18.1,moderate rain,2021-07-28 03:31:39
132,Nuuk,GL,64.1835,-51.7216,50.61,66,17,16.11,few clouds,2021-07-28 03:31:40
133,San Patricio,US,28.017,-97.5169,84.83,70,15,7.36,few clouds,2021-07-28 03:31:40
134,Shahi,IN,28.55,79.3167,85.3,77,99,10.16,overcast clouds,2021-07-28 03:31:41
135,Valverde Del Camino,ES,37.5751,-6.7543,71.44,48,0,4.43,clear sky,2021-07-28 03:31:41
136,Ilulissat,GL,69.2167,-51.1,53.62,62,100,9.22,overcast clouds,2021-07-28 03:31:41
137,Aksu,CN,41.1231,80.2644,94.5,20,93,5.75,overcast clouds,2021-07-28 03:31:06
138,Teguldet,RU,57.3064,88.1667,64.8,54,92,2.3,overcast clouds,2021-07-28 03:31:42
139,Evensk,RU,61.95,159.2333,60.78,46,69,19.04,broken clouds,2021-07-28 03:31:42
140,Kavieng,PG,-2.5744,150.7967,84.09,73,13,7.09,light rain,2021-07-28 03:29:09
141,Kinablangan,PH,7.6947,126.5503,88.34,67,73,8.95,broken clouds,2021-07-28 03:31:43
142,Cayenne,GF,4.9333,-52.3333,81.09,80,0,1.99,clear sky,2021-07-28 03:31:43
