City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
99,Labuhan,ID,86.76,clear sky,-6.8844,112.2051,Musholla Babut Taubat
102,Asau,RO,70.39,few clouds,46.4333,26.4,Comănești
103,Hilo,US,80.33,moderate rain,19.7297,-155.09,Hilo
107,Noumea,NC,77.0,few clouds,-22.2763,166.4572,Nouméa
108,Pasighat,IN,90.84,broken clouds,28.0667,95.3333,Nyingchi
110,Nilanga,IN,76.42,overcast clouds,18.1,76.7667,Nilanga
112,Port Macquarie,AU,77.9,clear sky,-31.4333,152.9167,Port Macquarie
113,Verkhnevilyuysk,RU,78.39,few clouds,63.4453,120.3167,Verkhneviliuisk
117,Dabola,GN,71.56,overcast clouds,10.75,-11.1167,Dabola
121,Cockburn Town,TC,81.66,scattered clouds,21.4612,-71.1419,Cockburn Town
126,Padang,ID,84.02,overcast clouds,-0.9492,100.3543,Padang
131,Katsuura,JP,87.91,moderate rain,35.1333,140.3,Katsuura
133,San Patricio,US,84.83,few clouds,28.017,-97.5169,Sinton
134,Shahi,IN,85.3,overcast clouds,28.55,79.3167,Shahi
135,Valverde Del Camino,ES,71.44,clear sky,37.5751,-6.7543,Valverde del Camino
137,Aksu,CN,94.5,overcast clouds,41.1231,80.2644,Aksu Prefecture
140,Kavieng,PG,84.09,light rain,-2.5744,150.7967,Kaewieng
141,Kinablangan,PH,88.34,broken clouds,7.6947,126.5503,Baganga
142,Cayenne,GF,81.09,clear sky,4.9333,-52.3333,Cayenne
143,Lipari,IT,81.09,clear sky,38.4674,14.954,Lipari
144,Xinqing,CN,88.27,light rain,48.2333,129.5,Yichun
146,Nemuro,JP,86.43,few clouds,43.3236,145.575,Nemuro
148,Kalmunai,LK,87.13,overcast clouds,7.4167,81.8167,Kalmunai
150,Isperih,BG,70.99,clear sky,43.7167,26.8333,Isperih
153,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Avarua District
154,Bhadasar,IN,84.7,overcast clouds,28.2833,74.3167,Bhadasar Utrada
158,Yumen,CN,88.02,clear sky,40.2833,97.2,Jiuquan
159,Hithadhoo,MV,80.74,broken clouds,-0.6,73.0833,Addu City
162,Namatanai,PG,84.76,scattered clouds,-3.6667,152.4333,Namatanai
165,Amnat Charoen,TH,88.41,overcast clouds,15.9167,104.75,Khuem Yai
166,Ulladulla,AU,71.87,broken clouds,-35.35,150.4667,Ulladulla
170,Isangel,VU,78.91,scattered clouds,-19.55,169.2667,Isangel
