City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Balabac,PH,2021-07-27 02:40:49,7.9868,117.0645,86.76,69,70,16.96
99,Sola,VU,2021-07-27 02:40:49,-13.8833,167.55,80.53,77,59,16.26
100,Ordzhonikidze,KZ,2021-07-27 02:40:50,52.4411,61.7408,62.24,48,91,2.64
101,Bilibino,RU,2021-07-27 02:40:50,68.0546,166.4372,55.94,45,76,16.87
102,Punta Arenas,CL,2021-07-27 02:39:15,-53.15,-70.9167,41.11,81,75,8.05
103,Tifton,US,2021-07-27 02:40:51,31.4505,-83.5085,83.61,90,90,0.0
104,Hambantota,LK,2021-07-27 02:36:49,6.1241,81.1185,84.54,79,100,13.8
105,Margate,GB,2021-07-27 02:36:10,51.3813,1.3862,64.04,94,100,3.0
106,Vallenar,CL,2021-07-27 02:40:51,-28.5708,-70.7581,52.72,54,0,2.33
107,Teahupoo,PF,2021-07-27 02:40:52,-17.8333,-149.2667,76.96,75,20,5.64
108,Wattegama,LK,2021-07-27 02:40:52,6.7989,81.4808,83.32,57,95,7.94
109,Liverpool,GB,2021-07-27 02:40:52,53.4106,-2.9779,61.29,81,20,1.01
110,Fairbanks,US,2021-07-27 02:40:34,64.8378,-147.7164,71.6,48,1,14.97
111,Mehamn,NO,2021-07-27 02:40:53,71.0357,27.8492,49.73,78,38,6.22
112,East London,ZA,2021-07-27 02:40:53,-33.0153,27.9116,65.01,27,6,12.77
113,Mar Del Plata,AR,2021-07-27 02:39:11,-38.0023,-57.5575,40.12,54,40,11.01
114,Hithadhoo,MV,2021-07-27 02:40:54,-0.6,73.0833,81.21,73,100,5.21
115,Ailigandi,PA,2021-07-27 02:40:54,9.2333,-78.0167,78.08,85,84,1.86
116,Farah,AF,2021-07-27 02:40:55,32.5,62.5,90.5,14,68,10.09
117,Bredasdorp,ZA,2021-07-27 02:40:55,-34.5322,20.0403,42.12,81,6,2.3
118,Sao Filipe,CV,2021-07-27 02:40:32,14.8961,-24.4956,74.77,86,25,8.84
119,Hasaki,JP,2021-07-27 02:40:11,35.7333,140.8333,81.28,74,23,19.95
120,Marathon,US,2021-07-27 02:40:56,44.9,-89.7668,75.15,84,1,5.75
121,Belmonte,BR,2021-07-27 02:40:00,-15.8631,-38.8828,68.5,83,3,3.89
122,Trairi,BR,2021-07-27 02:40:34,-3.2778,-39.2689,78.21,79,4,13.09
123,Tilichiki,RU,2021-07-27 02:40:57,60.4667,166.1,55.31,96,100,3.87
124,Northam,GB,2021-07-27 02:40:57,51.0333,-4.2167,64.02,96,100,10.2
125,Pyapon,MM,2021-07-27 02:40:57,16.2833,95.6833,82.58,83,96,13.49
126,Neuquen,AR,2021-07-27 02:38:28,-38.9516,-68.0591,39.09,65,0,5.75
127,Arlit,NE,2021-07-27 02:37:07,18.7369,7.3853,90.14,43,92,18.39
128,Milkovo,RU,2021-07-27 02:40:58,54.7167,158.6167,64.67,95,100,10.89
129,Port Lincoln,AU,2021-07-27 02:36:39,-34.7333,135.8667,63.52,48,86,30.33
130,Laguna,US,2021-07-27 02:40:59,38.421,-121.4238,89.46,33,1,4.0
131,Altamira,BR,2021-07-27 02:37:40,-3.2033,-52.2064,73.26,68,40,1.88
132,Tuktoyaktuk,CA,2021-07-27 02:40:59,69.4541,-133.0374,51.8,71,75,6.91
133,Tiznit,MA,2021-07-27 02:40:00,29.5833,-9.5,68.77,72,0,1.68
134,Dingle,PH,2021-07-27 02:40:24,10.9995,122.6711,88.66,62,45,18.1
135,Prince Rupert,CA,2021-07-27 02:41:00,54.3161,-130.3201,57.29,88,90,4.61
136,Nabire,ID,2021-07-27 02:41:00,-3.3667,135.4833,87.35,60,44,4.29
137,Upernavik,GL,2021-07-27 02:36:19,72.7868,-56.1549,46.18,90,100,9.42
138,Bengkulu,ID,2021-07-27 02:41:01,-3.8004,102.2655,83.82,57,15,1.54
139,Udachnyy,RU,2021-07-27 02:37:10,66.4167,112.4,85.96,34,49,6.51
140,Novikovo,RU,2021-07-27 02:41:01,51.1537,37.8879,66.2,55,1,0.81
141,Vaitape,PF,2021-07-27 02:41:02,-16.5167,-151.75,78.31,76,56,9.78
142,Bethel,US,2021-07-27 02:37:39,41.3712,-73.414,75.65,84,1,3.44
143,Port Hardy,CA,2021-07-27 02:41:02,50.6996,-127.4199,62.78,67,40,8.05
144,Shuangcheng,CN,2021-07-27 02:41:03,45.35,126.2833,83.88,44,87,14.92
145,Constitucion,CL,2021-07-27 02:40:38,-35.3333,-72.4167,44.74,67,0,12.93
146,De-Kastri,RU,2021-07-27 02:41:03,51.4667,140.7833,68.67,92,100,4.54
147,Merauke,ID,2021-07-27 02:41:04,-8.4667,140.3333,80.01,75,100,11.3
148,Jamestown,US,2021-07-27 02:41:04,42.097,-79.2353,71.24,68,1,4.23
149,Botesti,RO,2021-07-27 02:41:04,46.8,27.8833,67.5,52,16,5.5
150,Kaitangata,NZ,2021-07-27 02:41:05,-46.2817,169.8464,54.93,49,8,8.1
151,Kilgore,US,2021-07-27 02:41:05,32.3863,-94.8758,86.29,78,1,0.0
152,Cartagena,CO,2021-07-27 02:36:25,10.3997,-75.5144,82.02,78,40,4.61
153,Khandyga,RU,2021-07-27 02:41:06,62.6667,135.6,78.51,40,69,6.44
154,Hay River,CA,2021-07-27 02:39:45,60.8156,-115.7999,67.98,73,75,6.91
155,Nhulunbuy,AU,2021-07-27 02:41:06,-12.2333,136.7667,81.21,74,75,13.8
156,Beloha,MG,2021-07-27 02:41:07,-25.1667,45.05,60.89,71,57,14.36
157,Beringovskiy,RU,2021-07-27 02:41:07,63.05,179.3167,51.22,93,100,8.34
158,San Quintin,MX,2021-07-27 02:41:07,30.4833,-115.95,68.23,82,1,8.97
159,Senanga,ZM,2021-07-27 02:41:08,-16.1167,23.2667,45.14,58,100,5.61
160,Pevek,RU,2021-07-27 02:40:05,69.7008,170.3133,36.46,88,86,18.61
161,Petropavlovsk-Kamchatskiy,RU,2021-07-27 02:41:08,53.0452,158.6483,75.79,57,75,8.95
162,San Policarpo,PH,2021-07-27 02:41:09,12.1791,125.5072,90.72,56,92,11.41
163,Seoul,KR,2021-07-27 02:41:09,37.5683,126.9778,92.77,49,40,3.44
164,Awbari,LY,2021-07-27 02:41:09,26.5921,12.7805,79.99,21,10,7.61
165,Balaipungut,ID,2021-07-27 02:41:10,1.05,101.2833,84.61,57,33,3.58
166,Saint-Leu,RE,2021-07-27 02:41:10,-21.15,55.2833,65.26,74,4,13.04
167,Chazuta,PE,2021-07-27 02:41:10,-6.5742,-76.1367,73.4,89,1,0.83
168,Chara,RU,2021-07-27 02:41:11,56.9064,118.2631,71.89,49,0,3.56
169,Hanstholm,DK,2021-07-27 02:41:11,57.1167,8.6167,62.74,93,95,6.51
170,Cruzilia,BR,2021-07-27 02:41:12,-21.8386,-44.8083,50.49,59,0,2.46
171,Bell Ville,AR,2021-07-27 02:41:12,-32.6259,-62.6887,46.18,34,0,11.07
172,Pando,UY,2021-07-27 02:41:12,-34.7167,-55.95,50.99,87,70,3.44
173,Zitlala,MX,2021-07-27 02:41:13,17.6333,-99.0833,59.18,91,95,5.75
174,Norman Wells,CA,2021-07-27 02:41:13,65.282,-126.8329,64.44,52,90,9.22
175,Doume,CM,2021-07-27 02:41:13,4.2333,13.45,66.54,98,76,4.43
176,Novobureyskiy,RU,2021-07-27 02:41:14,49.798,129.8774,78.31,71,100,6.49
177,Avarua,CK,2021-07-27 02:40:48,-21.2078,-159.775,77.05,73,83,6.91
178,Imeni Stepana Razina,RU,2021-07-27 02:41:14,54.8932,44.2963,62.71,66,66,4.76
179,Talnakh,RU,2021-07-27 02:41:15,69.4865,88.3972,81.36,47,99,13.6
180,Galle,LK,2021-07-27 02:41:15,6.0367,80.217,81.75,81,98,13.85
181,Harper,LR,2021-07-27 02:41:15,4.375,-7.7169,75.34,81,100,8.86
182,Kangaatsiaq,GL,2021-07-27 02:41:16,68.3065,-53.4641,47.75,92,99,10.47
183,Kropotkin,RU,2021-07-27 02:41:16,45.4375,40.5756,72.1,59,100,14.88
184,Carauari,BR,2021-07-27 02:41:17,-4.8828,-66.8958,76.3,76,45,2.19
185,Soe,ID,2021-07-27 02:41:17,-9.8607,124.284,83.14,28,56,9.42
186,Puerto Escondido,MX,2021-07-27 02:41:17,15.85,-97.0667,80.71,79,100,3.11
187,Kyenjojo,UG,2021-07-27 02:41:18,0.6328,30.6214,61.43,66,71,1.88
188,Westport,US,2021-07-27 02:41:18,41.1415,-73.3579,79.75,84,3,3.0
189,Aconibe,GQ,2021-07-27 02:40:30,1.2968,10.9369,65.3,99,96,2.89
190,Camacha,PT,2021-07-27 02:41:18,33.0833,-16.3333,70.56,78,40,11.5
191,Fortuna,US,2021-07-27 02:36:38,40.5982,-124.1573,56.08,89,90,1.01
192,Caravelas,BR,2021-07-27 02:41:19,-17.7125,-39.2481,68.29,91,4,4.76
193,Millinocket,US,2021-07-27 02:40:14,45.6573,-68.7098,73.42,84,90,0.0
194,Geraldton,AU,2021-07-27 02:37:37,-28.7667,114.6,66.13,63,90,20.71
195,Touros,BR,2021-07-27 02:40:51,-5.1989,-35.4608,72.5,89,5,8.7
196,Sal Rei,CV,2021-07-27 02:41:20,16.1833,-22.9167,75.76,82,7,14.07
197,Maniitsoq,GL,2021-07-27 02:41:20,65.4167,-52.9,51.84,78,100,14.81
198,Baoqing,CN,2021-07-27 02:41:21,46.3317,132.2111,96.84,37,91,0.92
199,Chifeng,CN,2021-07-27 02:41:21,42.2683,118.9636,75.9,70,100,1.99
200,Lompoc,US,2021-07-27 02:40:05,34.6391,-120.4579,72.7,83,90,8.05
201,Banda Aceh,ID,2021-07-27 02:41:21,5.5577,95.3222,85.93,68,80,11.99
202,Aliganj,IN,2021-07-27 02:41:22,27.5,79.1833,89.65,63,29,3.09
203,Arona,ES,2021-07-27 02:41:22,28.0996,-16.681,66.83,82,75,12.66
204,Srednekolymsk,RU,2021-07-27 02:37:26,67.45,153.6833,56.44,44,96,18.43
205,Salalah,OM,2021-07-27 02:37:23,17.0151,54.0924,78.89,83,75,5.75
206,Quatre Cocos,MU,2021-07-27 02:41:23,-20.2078,57.7625,68.11,77,77,13.4
207,Zhezkazgan,KZ,2021-07-27 02:41:23,47.8043,67.7144,69.21,32,0,11.54
208,Bereznik,RU,2021-07-27 02:41:24,62.8551,42.7072,48.58,75,55,7.25
